[2021-03-03 10:25:14] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (IBRM_Incr_Level1_Weekly.sh)  is already running', 'job_id': 76, 'tg_job_dtl_id': 208805}
[2021-03-03 10:48:03] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (test.sh)  is already running', 'job_id': 156, 'tg_job_dtl_id': 208802}
[2021-03-03 11:00:12] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (IBRM_Archive.sh)  is already running', 'job_id': 71, 'tg_job_dtl_id': 208806}
[2021-03-03 11:00:14] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (IBRM_Archive.sh)  is already running', 'job_id': 71, 'tg_job_dtl_id': 208806}
[2021-03-03 11:23:03] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (IBRM_Archive.sh)  is already running', 'job_id': 71, 'tg_job_dtl_id': 208806}
[2021-03-03 11:23:05] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (IBRM_Archive.sh)  is already running', 'job_id': 71, 'tg_job_dtl_id': 208806}
[2021-03-03 11:24:38] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (IBRM_Archive.sh)  is already running', 'job_id': 71, 'tg_job_dtl_id': 208806}
[2021-03-03 11:24:40] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (IBRM_Archive.sh)  is already running', 'job_id': 71, 'tg_job_dtl_id': 208806}
[2021-03-03 11:30:17] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (IBRM_Archive.sh)  is already running', 'job_id': 54, 'tg_job_dtl_id': 208808}
[2021-03-03 11:30:19] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (IBRM_Archive.sh)  is already running', 'job_id': 54, 'tg_job_dtl_id': 208808}
[2021-03-03 12:00:15] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (test.sh)  is already running', 'job_id': 156, 'tg_job_dtl_id': 208809}
[2021-03-03 12:00:18] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (test.sh)  is already running', 'job_id': 158, 'tg_job_dtl_id': 208810}
[2021-03-03 12:00:20] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (test.sh)  is already running', 'job_id': 158, 'tg_job_dtl_id': 208810}
[2021-03-03 12:10:30] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (IBRM_Archive.sh)  is already running', 'job_id': 55, 'tg_job_dtl_id': 208811}
[2021-03-03 12:10:32] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (IBRM_Archive.sh)  is already running', 'job_id': 55, 'tg_job_dtl_id': 208811}
[2021-03-03 12:30:19] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (IBRM_Archive.sh)  is already running', 'job_id': 56, 'tg_job_dtl_id': 208812}
[2021-03-03 12:30:21] [60005] iBRM Job Already run shell script ==> {'memo': 'this job (IBRM_Archive.sh)  is already running', 'job_id': 56, 'tg_job_dtl_id': 208812}
